INFO 2022-07-01 22:25:23,468 autoreload 15695 4794125824 Watching for file changes with StatReloader
INFO 2022-07-01 22:25:36,215 basehttp 15695 123145422516224 "GET / HTTP/1.1" 200 10746
INFO 2022-07-01 22:25:36,338 basehttp 15695 123145422516224 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2022-07-01 22:25:36,695 basehttp 15695 123145422516224 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2022-07-01 22:25:36,697 basehttp 15695 123145439305728 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2022-07-01 22:25:36,699 basehttp 15695 123145456095232 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
WARNING 2022-07-01 22:25:36,861 basehttp 15695 123145456095232 "GET /favicon.ico HTTP/1.1" 404 2110
INFO 2022-07-01 22:28:51,668 autoreload 16059 4634824192 Watching for file changes with StatReloader
INFO 2022-07-01 22:28:55,132 basehttp 16059 123145553055744 "GET / HTTP/1.1" 200 10746
INFO 2022-07-01 22:29:01,565 basehttp 16059 123145553055744 "GET /admin HTTP/1.1" 301 0
INFO 2022-07-01 22:29:01,682 basehttp 16059 123145553055744 "GET /admin/ HTTP/1.1" 302 0
INFO 2022-07-01 22:29:03,178 basehttp 16059 123145553055744 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2266
INFO 2022-07-01 22:29:03,288 basehttp 16059 123145586634752 "GET /static/admin/css/login.css HTTP/1.1" 200 939
INFO 2022-07-01 22:29:03,303 basehttp 16059 123145569845248 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2271
INFO 2022-07-01 22:29:03,308 basehttp 16059 123145603424256 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18545
INFO 2022-07-01 22:29:03,318 basehttp 16059 123145553055744 "GET /static/admin/css/base.css HTTP/1.1" 200 19513
INFO 2022-07-01 22:29:03,538 basehttp 16059 123145553055744 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 1360
INFO 2022-07-01 22:29:03,567 basehttp 16059 123145553055744 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 1360
INFO 2022-07-01 22:29:06,055 basehttp 16059 123145553055744 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2022-07-01 22:29:06,154 basehttp 16059 123145553055744 "GET /admin/ HTTP/1.1" 200 3401
INFO 2022-07-01 22:29:06,291 basehttp 16059 123145553055744 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 380
INFO 2022-07-01 22:29:06,385 basehttp 16059 123145553055744 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2022-07-01 22:29:06,390 basehttp 16059 123145603424256 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2022-07-01 22:29:10,699 basehttp 16059 123145603424256 "GET /admin/logout/ HTTP/1.1" 200 1570
